time,iteration,size,seconds,microseconds
1522544527, 418, 3688570, 6, 550432
1522544529, 419, 1000535, 1, 948903
1522544530, 420, 437643, 0, 508362
1522544531, 421, 951239, 1, 129441
1522544534, 422, 1087667, 3, 64113
1522544539, 423, 3224957, 4, 917006
1522544542, 424, 1615289, 2, 971369
1522544544, 425, 1615289, 2, 353854
1522544549, 426, 3224957, 4, 646590
1522544553, 427, 3224957, 4, 317827
1522544555, 428, 1615289, 2, 92817
1522544557, 429, 1000535, 1, 535614
1522544560, 430, 1615289, 3, 173841
1522544568, 431, 4919186, 7, 679693
1522544572, 432, 3224957, 4, 413066
1522544578, 433, 3224957, 5, 723650
1522544581, 434, 1615289, 3, 276956
1522544583, 435, 1511855, 1, 638439
1522544589, 436, 3688570, 6, 23529
1522544591, 437, 1615289, 2, 269264
1522544594, 438, 1000535, 3, 179496
1522544601, 439, 4919186, 6, 746925
1522544604, 440, 1511855, 3, 179368
1522544606, 441, 1278476, 1, 639410
1522544608, 442, 1000535, 2, 147954
1522544610, 443, 1087667, 1, 642225
1522544612, 444, 951239, 2, 760453
1522544619, 445, 4919186, 6, 864726
1522544625, 446, 3224957, 6, 241800
1522544627, 447, 1000535, 1, 535685
1522544628, 448, 1000535, 1, 125680
1522544630, 449, 1087667, 2, 355713
1522544637, 450, 3688570, 6, 347514
1522544642, 451, 3224957, 5, 223318
1522544646, 452, 1615289, 3, 479956
1522544647, 453, 1511855, 1, 637626
1522544649, 454, 1278476, 1, 643159
1522544654, 455, 3688570, 5, 311900
1522544661, 456, 4919186, 6, 973810
1522544663, 457, 1087667, 1, 737208
1522544666, 458, 1615289, 3, 480421
1522544670, 459, 3688570, 4, 98756
1522544674, 460, 1615289, 3, 170882
1522544676, 461, 1511855, 1, 944606
1522544677, 462, 951239, 1, 536954
1522544680, 463, 1615289, 2, 866138
1522544682, 464, 1278476, 2, 46704
1522544687, 465, 3224957, 4, 917396
1522544692, 466, 3688570, 5, 220259
1522544695, 467, 1278476, 2, 765572
1522544696, 468, 1000535, 1, 22433
1522544697, 469, 951239, 1, 534586
1522544700, 470, 1000535, 2, 397703
1522544701, 471, 1000535, 1, 185969
1522544703, 472, 1615289, 2, 52178
1522544710, 473, 4919186, 6, 751962
1522544712, 474, 1511855, 2, 355107
1522544717, 475, 3688570, 5, 17972
1522544720, 476, 1278476, 2, 807050
1522544721, 477, 1000535, 1, 287338
1522544726, 478, 3688570, 4, 505079
1522544731, 479, 3224957, 5, 426993
1522544733, 480, 1087667, 1, 330817
1522544738, 481, 3688570, 5, 119547
1522544739, 482, 951239, 1, 260710
1522544745, 483, 3224957, 6, 316140
1522544748, 484, 1615289, 3, 113281
1522544752, 485, 1000535, 3, 234099
1522544756, 486, 3224957, 4, 300463
1522544757, 487, 951239, 1, 538056
1522544760, 488, 1000535, 2, 661781
1522544763, 489, 1615289, 2, 456167
1522544768, 490, 3688570, 5, 364298
1522544769, 491, 1000535, 1, 527553
1522544772, 492, 1278476, 2, 777257
1522544774, 493, 1087667, 1, 904444
1522544778, 494, 1511855, 3, 643448
1522544780, 495, 1087667, 1, 982996
1522544782, 496, 1000535, 2, 52064
1522544784, 497, 1087667, 1, 735998
1522544785, 498, 1000535, 1, 442587
1522544790, 499, 3688570, 4, 802898
1522544794, 500, 3224957, 4, 610633
