time,iteration,size,seconds,microseconds
1522534105, 484, 1000535, 1, 817614
1522534107, 485, 1511855, 2, 251083
1522534111, 486, 3224957, 4, 323269
1522534113, 487, 1000535, 1, 729997
1522534115, 488, 1000535, 2, 238681
1522534117, 489, 1000535, 2, 279545
1522534119, 490, 1000535, 1, 917903
1522534128, 491, 3688570, 8, 293979
1522534130, 492, 1615289, 2, 355689
1522534131, 493, 951239, 1, 433569
1522534135, 494, 1615289, 3, 173131
1522534136, 495, 1000535, 1, 852599
1522534139, 496, 1511855, 2, 139353
1522534141, 497, 1278476, 2, 253202
1522534147, 498, 3224957, 6, 143211
1522534149, 499, 1278476, 1, 637727
1522534150, 500, 1278476, 1, 845536
1522534159, 501, 4919186, 8, 188846
1522534159, 502, 437643, 0, 575335
1522534160, 503, 1000535, 1, 267169
1522534164, 504, 1087667, 3, 174197
1522534166, 505, 1087667, 2, 354792
1522534173, 506, 4919186, 7, 474645
1522534175, 507, 951239, 1, 433607
1522534177, 508, 951239, 1, 843993
1522534179, 509, 1087667, 1, 944313
1522534181, 510, 1511855, 2, 559972
1522534190, 511, 4919186, 8, 497779
1522534190, 512, 437643, 0, 614375
1522534192, 513, 1087667, 1, 842661
1522534198, 514, 3224957, 6, 249045
1522534203, 515, 3224957, 5, 14607
1522534204, 516, 437643, 0, 564559
1522534207, 517, 1278476, 2, 813279
1522534209, 518, 1000535, 2, 559612
1522534211, 519, 951239, 1, 433300
1522534214, 520, 1087667, 2, 765469
1522534216, 521, 1615289, 2, 252620
1522534220, 522, 1278476, 3, 700832
1522534223, 523, 1615289, 3, 362309
1522534230, 524, 3688570, 7, 579437
1522534232, 525, 1087667, 1, 534144
1522534234, 526, 1278476, 2, 361953
1522534235, 527, 437643, 0, 606165
1522534237, 528, 1087667, 1, 535569
1522534239, 529, 1087667, 2, 149924
1522534244, 530, 3688570, 5, 119764
1522534245, 531, 437643, 0, 922352
1522534246, 532, 1087667, 1, 744413
1522534248, 533, 1278476, 1, 738111
1522534256, 534, 4919186, 7, 676943
1522534258, 535, 1278476, 1, 842891
1522534260, 536, 1278476, 1, 843129
1522534265, 537, 3224957, 5, 734382
1522534272, 538, 3688570, 6, 247477
1522534274, 539, 1615289, 2, 250416
1522534278, 540, 3688570, 4, 402549
1522534280, 541, 1000535, 1, 537617
1522534285, 542, 3688570, 5, 527399
1522534291, 543, 3688570, 5, 505748
1522534293, 544, 951239, 1, 866985
1522534295, 545, 951239, 2, 151308
1522534298, 546, 1278476, 2, 762347
1522534300, 547, 1000535, 2, 870225
1522534303, 548, 1511855, 2, 793415
1522534310, 549, 3224957, 6, 315972
1522534312, 550, 1511855, 2, 458757
1522534317, 551, 3688570, 5, 302839
1522534321, 552, 1615289, 3, 296286
1522534326, 553, 3688570, 5, 19689
1522534328, 554, 1278476, 2, 45392
